                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8412,                 2.3248,                0.81222,                0.59298,                0.41061,                0.49763,                0.31267,                 1.3262,                0.52698,                0.75982,              0.0033331,              0.0033331,              0.0033331
                      2,                 1.6021,                0.66995,                 0.7852,                0.61214,                0.42339,                0.51799,                0.34702,                 1.1826,                0.48175,                0.75557,              0.0065344,              0.0065344,              0.0065344
                      3,                 1.5476,                0.65473,                0.78195,                0.62664,                0.40668,                0.51054,                0.32678,                 1.3031,                0.59674,                0.76496,              0.0096037,              0.0096037,              0.0096037
                      4,                 1.4517,                 0.6078,                  0.776,                0.41991,                0.40114,                0.46222,                0.23639,                 2.0439,                 1.8388,                0.79694,               0.009406,               0.009406,               0.009406
                      5,                  1.346,                0.55899,                 0.7695,                0.54787,                0.25654,                0.41189,                0.19374,                 2.4381,                 3.0439,                0.81387,               0.009208,               0.009208,               0.009208
                      6,                 1.2912,                0.53385,                 0.7662,                0.51297,                0.34575,                0.45089,                0.21577,                  2.269,                 2.3822,                 0.7992,                0.00901,                0.00901,                0.00901
                      7,                  1.262,                0.52147,                0.76403,                0.44512,                0.43825,                0.49646,                0.25813,                 1.9362,                 1.3632,                0.77949,               0.008812,               0.008812,               0.008812
                      8,                 1.2426,                0.51304,                0.76202,                0.64382,                 0.3729,                0.51758,                0.29938,                 1.6182,                0.78522,                0.76567,               0.008614,               0.008614,               0.008614
                      9,                 1.2225,                0.50582,                0.76106,                0.64093,                  0.408,                0.52822,                0.33101,                 1.4004,                0.57014,                0.75668,               0.008416,               0.008416,               0.008416
                     10,                 1.2008,                0.49845,                0.76019,                 0.6397,                0.41761,                0.53324,                0.35337,                 1.2532,                 0.4918,                0.75088,               0.008218,               0.008218,               0.008218
                     11,                 1.1964,                 0.4958,                0.76015,                0.63958,                0.42038,                0.53611,                0.36865,                 1.1583,                0.45861,                0.74723,                0.00802,                0.00802,                0.00802
                     12,                 1.1766,                0.48675,                0.75886,                0.64026,                0.42087,                0.53782,                0.37947,                 1.0961,                0.43908,                0.74473,               0.007822,               0.007822,               0.007822
                     13,                 1.1693,                0.48467,                0.75761,                0.64131,                0.42149,                0.53961,                0.38733,                 1.0544,                0.42671,                0.74272,               0.007624,               0.007624,               0.007624
                     14,                 1.1581,                0.48088,                0.75728,                0.64144,                 0.4216,                 0.5406,                0.39314,                 1.0246,                0.41811,                0.74131,               0.007426,               0.007426,               0.007426
                     15,                  1.153,                0.47904,                0.75736,                 0.6422,                0.42142,                0.54127,                0.39629,                 1.0087,                0.41314,                0.74023,               0.007228,               0.007228,               0.007228
